"","control_rep1","control_rep2","treated_rep1","treated_rep2"
"Gene9308",18,16,14,7
"Gene9309",29,15,12,15
"Gene9310",21,9,10,13
"Gene9311",6,8,18,14
"Gene9312",14,20,11,15
"Gene9313",14,5,20,17
"Gene9314",37,16,11,5
"Gene9315",12,14,17,29
"Gene9316",7,15,8,10
"Gene9317",6,13,7,8
"Gene9318",27,14,15,14
"Gene9319",10,12,18,5
"Gene9320",7,4,16,6
"Gene9321",6,15,6,16
"Gene9322",13,5,16,27
"Gene9323",22,9,13,5
"Gene9324",13,8,10,16
"Gene9325",18,10,9,16
"Gene9326",11,6,12,18
"Gene9327",5,11,18,16
"Gene9328",10,21,5,15
"Gene9329",32,5,11,21
"Gene9330",7,10,13,19
"Gene9331",8,5,8,12
"Gene9332",9,7,8,9
"Gene9333",7,7,16,7
"Gene9334",14,19,7,13
"Gene9335",11,16,6,25
"Gene9336",12,17,12,11
"Gene9337",23,18,11,10
"Gene9338",21,13,6,8
"Gene9339",23,6,14,10
"Gene9340",8,12,18,2
"Gene9341",6,15,13,7
"Gene9342",13,4,13,11
"Gene9343",6,9,14,6
"Gene9344",9,8,13,12
"Gene9345",15,11,13,36
"Gene9346",19,16,16,13
"Gene9347",9,15,13,14
"Gene9348",9,16,8,11
"Gene9349",18,20,19,5
"Gene9350",8,8,12,6
"Gene9351",30,15,11,9
"Gene9352",7,3,5,12
"Gene9353",27,7,13,5
"Gene9354",8,10,16,16
"Gene9355",18,24,15,16
"Gene9356",13,13,33,18
"Gene9357",20,9,7,7
"Gene9358",24,7,14,16
"Gene9359",7,11,16,11
"Gene9360",13,9,7,19
"Gene9361",8,20,15,10
"Gene9362",17,7,6,13
"Gene9363",11,12,9,9
"Gene9364",11,21,8,22
"Gene9365",19,10,13,13
"Gene9366",7,21,12,13
"Gene9367",12,15,10,8
"Gene9368",18,13,5,30
"Gene9369",13,10,11,5
"Gene9370",12,17,13,13
"Gene9371",10,17,14,17
"Gene9372",15,8,2,21
"Gene9373",10,12,8,21
"Gene9374",5,13,17,25
"Gene9375",12,19,18,12
"Gene9376",23,12,16,8
"Gene9377",3,4,8,14
"Gene9378",18,8,8,7
"Gene9379",16,7,17,16
"Gene9380",5,10,8,14
"Gene9381",6,13,14,6
"Gene9382",9,14,6,6
"Gene9383",13,17,15,11
"Gene9384",8,5,18,7
"Gene9385",6,7,11,14
"Gene9386",9,14,9,2
"Gene9387",21,13,2,16
"Gene9388",14,8,10,7
"Gene9389",8,11,6,16
"Gene9390",14,30,20,26
"Gene9391",5,9,14,7
"Gene9392",6,19,11,15
"Gene9393",13,9,9,7
"Gene9394",15,9,13,20
"Gene9395",7,12,21,6
"Gene9396",8,13,15,15
"Gene9397",20,12,20,12
"Gene9398",9,9,15,9
"Gene9399",11,8,14,11
"Gene9400",12,15,8,18
"Gene9401",8,7,15,12
"Gene9402",5,20,12,5
"Gene9403",11,19,8,2
"Gene9404",15,12,13,21
"Gene9405",9,8,26,18
"Gene9406",10,11,15,18
"Gene9407",14,12,10,2
"Gene9408",9,13,18,14
"Gene9409",16,16,14,20
"Gene9410",7,8,16,12
"Gene9411",8,15,15,24
"Gene9412",10,13,14,7
"Gene9413",14,13,9,10
"Gene9414",11,9,10,22
"Gene9415",5,8,19,12
"Gene9416",7,14,18,9
"Gene9417",19,7,14,8
"Gene9418",10,14,15,9
"Gene9419",13,14,11,10
"Gene9420",7,8,5,27
"Gene9421",11,8,11,12
"Gene9422",28,11,6,10
"Gene9423",12,6,14,24
"Gene9424",8,18,6,16
"Gene9425",7,12,17,11
"Gene9426",20,10,8,25
"Gene9427",4,20,27,18
"Gene9428",18,6,19,11
"Gene9429",16,14,12,9
"Gene9430",12,15,15,17
"Gene9431",9,8,7,29
"Gene9432",7,10,11,12
"Gene9433",8,8,10,8
"Gene9434",9,15,6,11
"Gene9435",10,14,16,18
"Gene9436",18,14,11,11
"Gene9437",8,13,4,4
"Gene9438",12,8,18,22
"Gene9439",6,8,9,17
"Gene9440",18,9,9,19
"Gene9441",11,16,16,21
"Gene9442",14,23,19,8
"Gene9443",13,2,12,11
"Gene9444",6,4,5,8
"Gene9445",9,19,13,6
"Gene9446",3,9,20,27
"Gene9447",16,18,22,11
"Gene9448",6,14,7,5
"Gene9449",6,11,22,14
"Gene9450",11,10,14,9
"Gene9451",19,12,9,3
"Gene9452",6,7,22,7
"Gene9453",10,11,21,10
"Gene9454",9,17,7,21
"Gene9455",9,2,20,12
"Gene9456",24,14,9,18
"Gene9457",28,21,23,20
"Gene9458",7,9,23,17
"Gene9459",7,13,11,4
"Gene9460",6,6,7,18
"Gene9461",7,8,7,7
"Gene9462",11,14,15,19
"Gene9463",5,6,8,17
"Gene9464",23,9,6,9
"Gene9465",15,9,7,9
"Gene9466",17,25,7,18
"Gene9467",4,9,9,6
"Gene9468",15,14,12,18
"Gene9469",16,13,21,7
"Gene9470",16,7,13,7
"Gene9471",19,8,14,10
"Gene9472",17,13,14,23
"Gene9473",6,17,4,11
"Gene9474",8,13,15,6
"Gene9475",23,27,7,15
"Gene9476",3,14,18,20
"Gene9477",11,9,23,25
"Gene9478",11,12,22,7
"Gene9479",13,17,20,11
"Gene9480",12,16,12,15
"Gene9481",9,5,12,5
"Gene9482",9,10,10,10
"Gene9483",7,9,13,6
"Gene9484",4,11,20,9
"Gene9485",8,4,15,13
"Gene9486",12,17,19,7
"Gene9487",4,5,7,13
"Gene9488",5,25,11,12
"Gene9489",4,16,14,15
"Gene9490",23,5,8,15
"Gene9491",4,11,13,14
"Gene9492",16,14,12,16
"Gene9493",18,9,10,5
"Gene9494",23,9,21,14
"Gene9495",9,18,16,4
"Gene9496",14,19,9,19
"Gene9497",18,20,11,28
"Gene9498",14,8,8,10
"Gene9499",13,12,9,14
"Gene9500",29,19,19,10
"Gene9501",12,19,14,12
"Gene9502",17,9,9,16
"Gene9503",17,5,10,8
"Gene9504",3,14,12,14
"Gene9505",6,16,12,17
"Gene9506",7,11,28,8
"Gene9507",9,22,14,21
"Gene9508",11,30,27,23
"Gene9509",9,12,8,12
"Gene9510",3,9,6,15
"Gene9511",10,20,15,5
"Gene9512",6,9,8,13
"Gene9513",18,18,10,9
"Gene9514",17,10,4,16
"Gene9515",25,8,13,24
"Gene9516",27,23,13,11
"Gene9517",5,8,22,14
"Gene9518",15,10,5,7
"Gene9519",6,17,2,11
"Gene9520",11,13,10,11
"Gene9521",15,10,5,18
"Gene9522",5,7,23,10
"Gene9523",8,7,9,8
"Gene9524",25,14,24,11
"Gene9525",2,13,7,8
"Gene9526",19,13,8,12
"Gene9527",10,16,9,4
"Gene9528",6,5,9,2
"Gene9529",9,25,5,13
"Gene9530",18,11,20,4
"Gene9531",27,6,19,5
"Gene9532",21,9,7,15
"Gene9533",6,10,17,11
"Gene9534",9,9,22,12
"Gene9535",27,10,24,16
"Gene9536",6,17,8,18
"Gene9537",8,12,5,10
"Gene9538",8,3,14,17
"Gene9539",13,22,10,15
"Gene9540",15,1,9,10
"Gene9541",10,16,15,10
"Gene9542",12,10,14,9
"Gene9543",11,9,14,20
"Gene9544",9,15,17,7
"Gene9545",10,7,8,9
"Gene9546",9,14,22,10
"Gene9547",4,16,4,21
"Gene9548",11,13,6,7
"Gene9549",24,9,13,3
"Gene9550",7,15,9,23
"Gene9551",8,11,20,25
"Gene9552",25,16,14,14
"Gene9553",18,6,9,10
"Gene9554",19,6,21,11
"Gene9555",7,17,17,8
"Gene9556",17,5,5,6
"Gene9557",19,11,10,11
"Gene9558",11,15,11,26
"Gene9559",10,11,5,9
"Gene9560",9,10,16,12
"Gene9561",6,6,8,16
"Gene9562",13,47,7,10
"Gene9563",4,13,7,23
"Gene9564",17,9,16,10
"Gene9565",19,4,4,14
"Gene9566",21,10,4,13
"Gene9567",16,13,14,15
"Gene9568",14,10,26,10
"Gene9569",17,18,18,16
"Gene9570",12,13,3,4
"Gene9571",9,4,21,23
"Gene9572",5,12,7,8
"Gene9573",13,16,24,8
"Gene9574",6,25,16,25
"Gene9575",10,9,9,22
"Gene9576",14,11,14,7
"Gene9577",9,8,7,17
"Gene9578",10,17,9,20
"Gene9579",12,6,8,3
"Gene9580",17,13,5,16
"Gene9581",15,6,6,4
"Gene9582",16,21,6,8
"Gene9583",13,14,9,17
"Gene9584",14,17,6,8
"Gene9585",13,11,30,8
"Gene9586",12,9,7,17
"Gene9587",12,24,12,11
"Gene9588",14,38,8,15
"Gene9589",16,25,4,13
"Gene9590",11,9,17,16
"Gene9591",16,5,18,20
"Gene9592",13,14,10,13
"Gene9593",11,12,27,16
"Gene9594",10,4,15,10
"Gene9595",13,7,14,14
"Gene9596",10,21,12,7
"Gene9597",25,12,15,20
"Gene9598",12,14,12,10
"Gene9599",6,14,13,15
"Gene9600",20,15,17,8
"Gene9601",16,28,7,15
"Gene9602",7,13,13,23
"Gene9603",12,20,11,7
"Gene9604",19,6,8,13
"Gene9605",9,14,11,15
"Gene9606",4,11,21,15
"Gene9607",11,7,15,12
"Gene9608",8,8,6,13
"Gene9609",18,13,11,11
"Gene9610",13,10,9,7
"Gene9611",14,11,9,15
"Gene9612",8,23,11,20
"Gene9613",16,15,16,8
"Gene9614",8,15,18,10
"Gene9615",14,14,17,7
"Gene9616",20,12,24,6
"Gene9617",20,10,12,11
"Gene9618",26,8,10,12
"Gene9619",29,31,12,11
"Gene9620",9,16,18,8
"Gene9621",12,17,6,12
"Gene9622",21,28,9,8
"Gene9623",6,7,12,13
"Gene9624",7,25,15,7
"Gene9625",7,10,27,4
"Gene9626",9,5,7,11
"Gene9627",12,15,14,14
"Gene9628",7,6,22,13
"Gene9629",13,13,12,15
"Gene9630",9,25,14,13
"Gene9631",11,12,7,14
"Gene9632",10,18,11,13
"Gene9633",9,10,12,2
"Gene9634",14,21,10,4
"Gene9635",9,20,8,11
"Gene9636",18,9,5,6
"Gene9637",7,9,9,4
"Gene9638",7,7,6,30
"Gene9639",6,15,5,7
"Gene9640",8,18,6,19
"Gene9641",13,8,18,19
"Gene9642",11,12,11,12
"Gene9643",15,6,6,10
"Gene9644",12,12,13,13
"Gene9645",13,9,10,14
"Gene9646",17,22,11,10
"Gene9647",14,20,25,7
"Gene9648",6,4,30,13
"Gene9649",9,38,24,13
"Gene9650",11,16,14,16
"Gene9651",11,8,14,15
"Gene9652",26,11,18,21
"Gene9653",9,11,20,16
"Gene9654",5,26,18,9
"Gene9655",7,10,11,10
"Gene9656",3,15,18,4
"Gene9657",8,13,16,10
"Gene9658",9,10,4,16
"Gene9659",7,11,13,10
"Gene9660",12,11,16,18
"Gene9661",15,5,5,32
"Gene9662",17,15,15,4
"Gene9663",15,5,14,25
"Gene9664",14,13,18,12
"Gene9665",15,12,24,20
"Gene9666",11,17,6,10
"Gene9667",13,12,14,15
"Gene9668",9,18,17,14
"Gene9669",21,8,8,12
"Gene9670",9,6,4,5
"Gene9671",14,6,10,10
"Gene9672",16,19,14,16
"Gene9673",26,5,8,7
"Gene9674",12,4,6,16
"Gene9675",22,9,13,9
"Gene9676",6,16,11,9
"Gene9677",15,20,10,12
"Gene9678",16,8,14,27
"Gene9679",12,3,14,9
"Gene9680",10,13,13,8
"Gene9681",22,18,10,18
"Gene9682",17,12,9,18
"Gene9683",9,24,10,17
"Gene9684",14,11,6,10
"Gene9685",16,11,9,10
"Gene9686",18,11,9,14
"Gene9687",8,6,13,10
"Gene9688",7,20,7,23
"Gene9689",15,5,12,13
"Gene9690",14,7,9,9
"Gene9691",10,17,25,8
"Gene9692",11,8,7,14
"Gene9693",17,20,6,12
"Gene9694",15,33,8,11
"Gene9695",12,9,16,18
"Gene9696",8,8,6,6
"Gene9697",13,9,12,12
"Gene9698",12,21,8,14
"Gene9699",22,5,11,12
"Gene9700",25,16,15,8
"Gene9701",7,11,12,12
"Gene9702",18,11,15,4
"Gene9703",24,13,10,9
"Gene9704",7,10,14,32
"Gene9705",10,12,19,13
"Gene9706",5,11,11,19
"Gene9707",5,4,10,10
"Gene9708",13,8,11,10
"Gene9709",10,22,18,9
"Gene9710",9,12,10,10
"Gene9711",6,13,6,13
"Gene9712",9,6,9,8
"Gene9713",14,37,9,20
"Gene9714",5,17,8,6
"Gene9715",18,8,6,18
"Gene9716",14,16,14,26
"Gene9717",16,15,21,12
"Gene9718",19,16,6,21
"Gene9719",15,18,7,6
"Gene9720",24,19,22,13
"Gene9721",7,24,5,12
"Gene9722",9,6,15,18
"Gene9723",32,11,10,19
"Gene9724",12,16,17,4
"Gene9725",17,17,7,14
"Gene9726",21,2,22,15
"Gene9727",9,7,6,17
"Gene9728",10,11,13,15
"Gene9729",17,7,9,8
"Gene9730",12,8,15,12
"Gene9731",24,9,10,9
"Gene9732",11,5,18,16
"Gene9733",7,13,16,10
"Gene9734",16,20,6,20
"Gene9735",14,6,11,12
"Gene9736",19,11,18,9
"Gene9737",13,3,16,17
"Gene9738",11,6,18,16
"Gene9739",28,7,3,14
"Gene9740",11,28,9,21
"Gene9741",7,11,15,8
"Gene9742",11,16,13,5
"Gene9743",5,9,18,13
"Gene9744",17,14,7,15
"Gene9745",9,7,17,14
"Gene9746",14,14,23,9
"Gene9747",17,17,9,17
"Gene9748",10,24,9,11
"Gene9749",2,8,14,10
"Gene9750",20,12,5,17
"Gene9751",8,11,12,14
"Gene9752",12,15,15,18
"Gene9753",16,14,2,15
"Gene9754",13,23,13,10
"Gene9755",21,13,7,11
"Gene9756",28,15,10,22
"Gene9757",20,15,15,11
"Gene9758",14,30,4,7
"Gene9759",7,18,10,7
"Gene9760",15,18,16,7
"Gene9761",22,16,6,6
"Gene9762",14,6,7,15
"Gene9763",12,19,35,7
"Gene9764",16,15,15,15
"Gene9765",13,12,18,26
"Gene9766",14,9,17,8
"Gene9767",5,6,10,8
"Gene9768",8,10,14,12
"Gene9769",8,21,16,8
"Gene9770",17,19,7,9
"Gene9771",11,14,10,18
"Gene9772",16,23,18,5
"Gene9773",13,8,13,5
"Gene9774",15,15,6,14
"Gene9775",15,9,16,7
"Gene9776",20,7,11,9
"Gene9777",32,10,30,13
"Gene9778",18,9,15,4
"Gene9779",15,10,8,3
"Gene9780",4,9,3,3
"Gene9781",19,11,20,4
"Gene9782",5,27,9,15
"Gene9783",9,8,23,8
"Gene9784",12,7,13,12
"Gene9785",11,13,17,9
"Gene9786",18,17,16,22
"Gene9787",26,8,4,20
"Gene9788",12,4,10,3
"Gene9789",8,13,15,3
"Gene9790",19,14,8,25
"Gene9791",9,6,19,4
"Gene9792",7,14,16,9
"Gene9793",10,10,8,4
"Gene9794",32,8,1,13
"Gene9795",14,8,16,14
"Gene9796",16,16,17,8
"Gene9797",9,18,12,29
"Gene9798",6,8,14,23
"Gene9799",9,4,8,12
"Gene9800",6,14,6,20
"Gene9801",10,27,11,13
"Gene9802",15,4,16,8
"Gene9803",9,19,11,17
"Gene9804",13,12,15,12
"Gene9805",8,6,11,15
"Gene9806",8,13,25,7
"Gene9807",15,18,3,12
"Gene9808",14,9,16,27
"Gene9809",12,10,11,5
"Gene9810",16,14,13,18
"Gene9811",7,15,9,4
"Gene9812",36,9,11,10
"Gene9813",15,26,6,8
"Gene9814",6,17,10,5
"Gene9815",11,17,13,12
"Gene9816",6,14,7,24
"Gene9817",3,12,22,2
"Gene9818",6,12,17,15
"Gene9819",8,12,20,10
"Gene9820",10,13,8,24
"Gene9821",21,8,6,9
"Gene9822",6,12,11,12
"Gene9823",28,17,4,12
"Gene9824",14,5,9,9
"Gene9825",20,3,23,5
"Gene9826",31,8,9,25
"Gene9827",6,19,19,6
"Gene9828",10,4,13,11
"Gene9829",11,32,13,4
"Gene9830",10,10,20,7
"Gene9831",16,16,7,10
"Gene9832",15,8,7,16
"Gene9833",8,17,13,7
"Gene9834",14,10,11,7
"Gene9835",13,6,21,17
"Gene9836",23,19,5,24
"Gene9837",12,6,5,12
"Gene9838",23,7,8,14
"Gene9839",12,26,14,11
"Gene9840",23,17,10,15
"Gene9841",3,11,22,12
"Gene9842",3,18,14,8
"Gene9843",4,8,10,2
"Gene9844",11,17,16,13
"Gene9845",11,14,9,15
"Gene9846",6,7,12,17
"Gene9847",12,17,10,13
"Gene9848",13,28,6,10
"Gene9849",18,8,21,9
"Gene9850",7,5,7,22
"Gene9851",8,9,15,9
"Gene9852",23,16,12,9
"Gene9853",14,13,6,18
"Gene9854",8,7,11,8
"Gene9855",17,3,6,14
"Gene9856",11,12,13,12
"Gene9857",15,6,8,6
"Gene9858",18,13,16,11
"Gene9859",7,23,19,11
"Gene9860",15,18,15,9
"Gene9861",13,21,6,13
"Gene9862",5,14,4,21
"Gene9863",12,16,11,8
"Gene9864",11,7,14,9
"Gene9865",12,14,7,14
"Gene9866",15,14,4,12
"Gene9867",13,20,7,6
"Gene9868",9,5,5,19
"Gene9869",15,7,7,13
"Gene9870",29,16,20,8
"Gene9871",13,8,17,13
"Gene9872",16,20,14,7
"Gene9873",13,17,6,12
"Gene9874",17,19,11,12
"Gene9875",6,6,7,9
"Gene9876",19,13,12,11
"Gene9877",16,9,10,30
"Gene9878",15,9,19,11
"Gene9879",26,12,7,20
"Gene9880",11,11,13,1
"Gene9881",12,12,13,10
"Gene9882",8,4,7,10
"Gene9883",6,11,16,21
"Gene9884",8,10,9,19
"Gene9885",11,17,17,11
"Gene9886",17,8,2,14
"Gene9887",8,17,15,11
"Gene9888",7,9,15,17
"Gene9889",7,17,5,16
"Gene9890",7,26,5,14
"Gene9891",10,22,10,11
"Gene9892",19,16,16,12
"Gene9893",14,31,11,15
"Gene9894",7,16,21,13
"Gene9895",9,7,8,5
"Gene9896",13,8,13,15
"Gene9897",3,5,8,13
"Gene9898",14,11,10,6
"Gene9899",8,8,45,19
"Gene9900",8,12,16,9
"Gene9901",18,10,11,12
"Gene9902",5,7,12,9
"Gene9903",5,22,11,9
"Gene9904",24,17,7,9
"Gene9905",22,11,6,6
"Gene9906",7,15,7,20
"Gene9907",13,8,23,10
"Gene9908",12,21,13,4
"Gene9909",35,6,2,17
"Gene9910",21,9,22,6
"Gene9911",15,12,13,7
"Gene9912",10,18,15,12
"Gene9913",5,20,12,23
"Gene9914",9,8,12,12
"Gene9915",10,15,15,15
"Gene9916",8,16,8,21
"Gene9917",15,15,6,11
"Gene9918",9,12,5,7
"Gene9919",18,5,6,23
"Gene9920",10,15,16,8
"Gene9921",7,11,4,8
"Gene9922",13,18,14,13
"Gene9923",10,10,16,2
"Gene9924",13,10,5,20
"Gene9925",14,23,24,15
"Gene9926",25,24,3,4
"Gene9927",15,4,13,8
"Gene9928",5,10,28,6
"Gene9929",4,22,5,7
"Gene9930",14,5,16,13
"Gene9931",14,15,10,14
"Gene9932",25,16,9,19
"Gene9933",14,14,15,23
"Gene9934",9,17,8,7
"Gene9935",11,9,18,8
"Gene9936",10,9,15,6
"Gene9937",4,10,5,15
"Gene9938",13,21,24,8
"Gene9939",18,16,9,20
"Gene9940",12,13,23,10
"Gene9941",15,10,10,9
"Gene9942",17,7,15,12
"Gene9943",22,14,21,9
"Gene9944",24,6,9,9
"Gene9945",9,11,15,9
"Gene9946",13,10,17,8
"Gene9947",10,20,13,7
"Gene9948",13,13,16,11
"Gene9949",15,9,20,19
"Gene9950",14,14,18,14
"Gene9951",15,9,10,14
"Gene9952",14,19,22,12
"Gene9953",24,10,14,17
"Gene9954",3,1,30,9
"Gene9955",17,11,7,9
"Gene9956",18,4,8,5
"Gene9957",6,12,5,13
"Gene9958",7,22,7,5
"Gene9959",22,6,25,7
"Gene9960",19,6,20,13
"Gene9961",7,5,12,14
"Gene9962",7,10,14,12
"Gene9963",9,10,26,22
"Gene9964",11,14,17,17
"Gene9965",24,15,6,15
"Gene9966",15,21,16,10
"Gene9967",7,16,18,11
"Gene9968",16,11,8,15
"Gene9969",10,12,9,24
"Gene9970",4,22,12,17
"Gene9971",10,8,12,10
"Gene9972",8,11,15,11
"Gene9973",14,19,7,9
"Gene9974",27,15,18,11
"Gene9975",13,18,24,5
"Gene9976",14,11,29,8
"Gene9977",21,9,11,15
"Gene9978",9,12,27,6
"Gene9979",6,36,22,8
"Gene9980",10,13,3,12
"Gene9981",7,8,14,13
"Gene9982",9,15,14,13
"Gene9983",11,9,24,17
"Gene9984",22,9,26,20
"Gene9985",7,8,11,9
"Gene9986",9,12,14,9
"Gene9987",10,18,14,4
"Gene9988",12,10,21,11
"Gene9989",27,8,20,10
"Gene9990",18,28,4,10
"Gene9991",15,10,17,26
"Gene9992",9,10,8,11
"Gene9993",18,9,8,8
"Gene9994",15,12,11,9
"Gene9995",17,5,3,6
"Gene9996",11,14,11,7
"Gene9997",13,13,5,11
"Gene9998",5,23,10,20
"Gene9999",12,23,18,8
"Gene10000",8,3,9,7
"Gene10001",13,12,20,16
"Gene10002",7,26,19,11
"Gene10003",4,15,18,2
"Gene10004",7,15,4,15
"Gene10005",13,8,3,10
"Gene10006",19,12,5,9
"Gene10007",5,10,12,7
"Gene10008",18,14,15,37
"Gene10009",16,10,8,17
"Gene10010",9,27,14,11
"Gene10011",15,8,15,4
"Gene10012",13,18,15,5
"Gene10013",13,17,21,22
"Gene10014",8,17,17,13
"Gene10015",15,6,10,12
"Gene10016",13,14,18,18
"Gene10017",7,8,18,12
"Gene10018",17,24,2,14
"Gene10019",8,21,23,25
"Gene10020",6,12,4,8
"Gene10021",15,13,14,8
"Gene10022",10,9,10,4
"Gene10023",25,11,15,11
"Gene10024",9,15,7,27
"Gene10025",8,13,14,10
"Gene10026",18,8,6,11
"Gene10027",5,6,13,19
"Gene10028",11,14,12,5
"Gene10029",11,11,18,3
"Gene10030",24,17,19,8
"Gene10031",8,9,14,13
"Gene10032",9,9,16,7
"Gene10033",12,17,23,7
"Gene10034",25,16,10,25
"Gene10035",11,7,11,7
"Gene10036",10,22,8,10
"Gene10037",19,4,8,15
"Gene10038",14,7,8,15
"Gene10039",10,16,11,7
"Gene10040",6,10,17,9
"Gene10041",21,15,15,16
"Gene10042",17,12,16,18
"Gene10043",5,9,12,20
"Gene10044",16,27,25,25
"Gene10045",18,14,10,8
"Gene10046",14,15,12,11
"Gene10047",10,14,16,18
"Gene10048",15,7,8,8
"Gene10049",7,7,17,7
"Gene10050",9,23,30,25
"Gene10051",7,13,13,7
"Gene10052",19,14,8,15
"Gene10053",15,14,11,12
"Gene10054",15,4,23,12
"Gene10055",17,9,11,13
"Gene10056",7,16,15,15
"Gene10057",11,13,9,11
"Gene10058",5,13,5,11
"Gene10059",7,18,10,18
"Gene10060",12,8,13,4
"Gene10061",21,16,13,22
"Gene10062",17,8,13,18
"Gene10063",14,3,18,10
"Gene10064",13,24,13,17
"Gene10065",18,20,22,13
"Gene10066",17,4,5,17
"Gene10067",6,4,7,13
"Gene10068",8,4,15,20
"Gene10069",10,9,17,16
"Gene10070",8,13,5,15
"Gene10071",8,11,11,22
"Gene10072",17,8,7,8
"Gene10073",17,15,11,25
"Gene10074",21,27,16,19
"Gene10075",13,7,16,28
"Gene10076",9,7,24,14
"Gene10077",13,15,10,8
"Gene10078",11,11,12,3
"Gene10079",12,13,7,9
"Gene10080",6,18,10,21
"Gene10081",10,18,16,8
"Gene10082",11,14,11,7
"Gene10083",12,14,23,9
"Gene10084",11,12,13,16
"Gene10085",9,7,15,7
"Gene10086",17,4,6,26
"Gene10087",11,11,10,16
"Gene10088",4,13,15,13
"Gene10089",7,6,5,21
"Gene10090",17,13,5,11
"Gene10091",7,5,25,11
"Gene10092",8,14,15,11
"Gene10093",11,12,13,28
"Gene10094",15,2,16,23
"Gene10095",5,15,14,16
"Gene10096",7,13,5,22
"Gene10097",17,6,10,13
"Gene10098",8,6,18,7
"Gene10099",9,17,12,20
"Gene10100",10,27,5,9
"Gene10101",8,16,12,10
"Gene10102",6,14,8,4
"Gene10103",1,9,11,15
"Gene10104",7,10,22,16
"Gene10105",24,12,7,8
"Gene10106",13,24,10,12
"Gene10107",10,14,10,5
"Gene10108",11,9,7,18
"Gene10109",13,14,22,7
"Gene10110",12,11,19,9
"Gene10111",13,11,10,11
"Gene10112",18,6,8,7
"Gene10113",11,11,9,10
"Gene10114",23,10,6,15
"Gene10115",10,18,13,9
"Gene10116",20,17,15,8
"Gene10117",9,20,18,9
"Gene10118",14,8,4,13
"Gene10119",11,6,5,23
"Gene10120",13,13,24,6
"Gene10121",11,13,13,11
"Gene10122",8,11,10,11
"Gene10123",11,14,13,6
"Gene10124",13,15,4,10
"Gene10125",9,17,11,24
"Gene10126",14,10,13,14
"Gene10127",24,8,8,12
"Gene10128",5,13,10,6
"Gene10129",25,2,11,13
"Gene10130",11,18,4,20
"Gene10131",8,24,16,17
"Gene10132",12,9,20,17
"Gene10133",10,24,6,13
"Gene10134",12,12,7,4
"Gene10135",17,15,17,11
"Gene10136",16,13,18,10
"Gene10137",13,7,10,23
"Gene10138",16,9,7,6
"Gene10139",6,9,10,9
"Gene10140",11,8,20,5
"Gene10141",25,6,8,16
"Gene10142",7,6,4,7
"Gene10143",21,14,6,4
"Gene10144",10,20,11,11
"Gene10145",16,18,22,4
"Gene10146",8,12,10,9
"Gene10147",17,12,14,18
"Gene10148",16,5,8,3
"Gene10149",22,14,6,14
"Gene10150",11,11,22,11
"Gene10151",11,6,14,11
"Gene10152",13,20,15,12
"Gene10153",6,13,12,15
"Gene10154",16,3,8,25
"Gene10155",15,17,15,11
"Gene10156",10,26,14,23
"Gene10157",10,8,22,20
"Gene10158",2,19,6,14
"Gene10159",9,15,6,12
"Gene10160",4,7,19,10
"Gene10161",18,11,10,16
"Gene10162",13,18,4,12
"Gene10163",6,11,13,18
"Gene10164",22,7,6,17
"Gene10165",9,21,7,23
"Gene10166",10,11,12,10
"Gene10167",15,5,11,14
"Gene10168",17,14,9,6
"Gene10169",10,11,37,17
"Gene10170",8,5,23,11
"Gene10171",15,11,5,7
"Gene10172",12,7,15,5
"Gene10173",7,4,21,5
"Gene10174",15,8,27,10
"Gene10175",9,17,4,12
"Gene10176",11,4,14,13
"Gene10177",22,9,15,6
"Gene10178",13,6,15,10
"Gene10179",14,16,21,12
"Gene10180",11,9,16,7
"Gene10181",16,4,7,10
"Gene10182",5,13,10,8
"Gene10183",22,4,13,5
"Gene10184",16,11,12,20
"Gene10185",17,23,15,12
"Gene10186",9,24,25,11
"Gene10187",10,7,17,10
"Gene10188",13,5,13,12
"Gene10189",11,13,8,10
"Gene10190",9,10,17,14
"Gene10191",19,10,7,19
"Gene10192",16,7,3,3
"Gene10193",10,20,11,13
"Gene10194",19,5,14,6
"Gene10195",8,5,7,12
"Gene10196",11,11,25,16
"Gene10197",17,9,13,29
"Gene10198",12,28,2,19
"Gene10199",10,13,20,10
"Gene10200",8,4,8,3
"Gene10201",6,7,10,15
"Gene10202",21,16,21,4
"Gene10203",15,14,29,16
"Gene10204",7,16,28,32
"Gene10205",32,11,12,8
"Gene10206",17,8,12,14
"Gene10207",14,5,16,9
"Gene10208",11,11,19,11
"Gene10209",9,14,8,14
"Gene10210",20,10,21,16
"Gene10211",15,4,15,6
"Gene10212",18,18,9,12
"Gene10213",10,20,15,22
"Gene10214",13,20,14,21
"Gene10215",10,8,6,12
"Gene10216",10,9,10,35
"Gene10217",10,16,11,17
"Gene10218",9,3,18,6
"Gene10219",10,29,37,6
"Gene10220",6,17,10,20
"Gene10221",9,9,5,18
"Gene10222",7,12,10,9
"Gene10223",11,11,6,7
"Gene10224",9,18,20,17
"Gene10225",6,10,10,8
"Gene10226",16,15,7,9
"Gene10227",7,9,22,18
"Gene10228",11,27,11,8
"Gene10229",26,2,9,6
"Gene10230",15,2,13,6
"Gene10231",7,18,8,19
"Gene10232",8,2,13,12
"Gene10233",22,8,16,6
"Gene10234",13,5,17,4
"Gene10235",7,13,5,9
"Gene10236",18,18,21,17
"Gene10237",19,7,12,8
"Gene10238",13,16,6,12
